iter	Passed	Remaining
0	47	47397
1	49	24745
2	51	17203
3	53	13413
4	56	11175
5	58	9625
6	59	8495
7	61	7648
8	63	6984
9	65	6442
10	66	6015
11	68	5657
12	70	5324
13	71	5044
14	72	4790
15	74	4562
16	75	4359
17	76	4180
18	77	4017
19	78	3867
20	79	3728
21	81	3608
22	82	3494
23	83	3395
24	84	3297
25	85	3207
26	86	3120
27	87	3037
28	88	2961
29	89	2888
30	90	2818
31	91	2754
32	91	2693
33	92	2635
34	93	2580
35	94	2526
36	95	2476
37	95	2428
38	96	2385
39	97	2341
40	98	2301
41	99	2262
42	99	2222
43	100	2184
44	101	2148
45	101	2113
46	102	2080
47	103	2048
48	103	2017
49	104	1987
50	105	1959
51	105	1931
52	106	1904
53	107	1879
54	107	1855
55	108	1831
56	109	1808
57	109	1786
58	110	1765
59	111	1744
60	112	1724
61	112	1705
62	113	1694
63	114	1680
64	116	1668
65	116	1653
66	117	1636
67	118	1620
68	118	1604
69	119	1591
70	120	1576
71	121	1561
72	121	1547
73	122	1533
74	123	1519
75	123	1506
76	124	1494
77	125	1481
78	126	1469
79	126	1457
80	127	1445
81	128	1434
82	128	1423
83	129	1413
84	130	1404
85	131	1395
86	132	1385
87	132	1375
88	133	1366
89	133	1353
90	134	1341
91	134	1332
92	135	1323
93	136	1315
94	137	1306
95	137	1298
96	138	1289
97	139	1281
98	139	1273
99	140	1265
100	141	1258
101	142	1250
102	142	1242
103	143	1235
104	144	1228
105	144	1221
106	145	1215
107	146	1209
108	147	1203
109	147	1196
110	148	1190
111	149	1183
112	149	1177
113	150	1170
114	151	1165
115	152	1158
116	152	1153
117	153	1147
118	154	1141
119	154	1135
120	155	1130
121	156	1124
122	156	1119
123	157	1113
124	158	1108
125	158	1102
126	159	1097
127	160	1092
128	161	1088
129	161	1083
130	162	1080
131	163	1075
132	164	1071
133	164	1066
134	165	1061
135	166	1056
136	167	1052
137	167	1047
138	168	1043
139	169	1038
140	169	1034
141	170	1029
142	171	1025
143	171	1021
144	172	1017
145	173	1013
146	174	1010
147	174	1006
148	175	1002
149	176	998
150	176	995
151	177	992
152	178	989
153	179	986
154	180	984
155	181	980
156	182	977
157	182	974
158	183	970
159	184	967
160	185	964
161	185	961
162	186	957
163	187	954
164	187	950
165	188	947
166	189	943
167	189	940
168	190	938
169	191	934
170	192	932
171	193	929
172	193	927
173	194	924
174	195	921
175	196	918
176	196	915
177	197	912
178	198	909
179	198	906
180	199	903
181	200	900
182	201	897
183	201	894
184	202	891
185	203	888
186	203	885
187	204	883
188	205	880
189	205	878
190	206	875
191	207	872
192	208	870
193	208	868
194	209	866
195	210	863
196	211	861
197	211	858
198	212	855
199	213	853
200	214	850
201	214	848
202	215	845
203	216	843
204	216	840
205	217	837
206	218	835
207	218	832
208	219	830
209	220	827
210	220	825
211	221	823
212	222	820
213	222	818
214	223	816
215	224	813
216	225	811
217	225	810
218	226	808
219	227	805
220	228	803
221	228	801
222	229	799
223	230	797
224	230	795
225	231	793
226	232	790
227	232	788
228	233	786
229	234	784
230	234	782
231	235	780
232	236	777
233	236	775
234	237	773
235	238	771
236	239	769
237	239	767
238	240	766
239	241	765
240	242	763
241	243	761
242	243	760
243	244	758
244	245	756
245	246	754
246	246	752
247	247	750
248	248	748
249	248	746
250	249	744
251	250	742
252	250	740
253	251	739
254	252	737
255	252	735
256	253	733
257	254	731
258	255	729
259	255	727
260	256	726
261	257	724
262	258	723
263	258	721
264	259	719
265	260	718
266	260	716
267	261	714
268	262	712
269	263	711
270	263	709
271	264	707
272	265	705
273	265	704
274	266	702
275	267	700
276	267	699
277	268	697
278	269	695
279	269	694
280	270	692
281	271	690
282	272	689
283	272	688
284	273	686
285	274	685
286	275	683
287	276	682
288	276	680
289	277	679
290	278	677
291	278	676
292	279	674
293	280	673
294	281	671
295	281	670
296	282	668
297	283	666
298	283	665
299	284	663
300	285	662
301	286	661
302	286	659
303	287	658
304	288	657
305	289	655
306	289	654
307	290	653
308	291	651
309	292	649
310	292	648
311	293	647
312	294	646
313	295	645
314	296	644
315	297	642
316	297	641
317	298	640
318	299	639
319	300	637
320	300	636
321	301	634
322	302	633
323	302	631
324	303	630
325	304	629
326	305	628
327	306	627
328	306	625
329	307	624
330	308	623
331	309	621
332	309	620
333	310	618
334	311	617
335	311	616
336	312	614
337	313	613
338	313	612
339	314	610
340	315	609
341	316	608
342	316	606
343	317	605
344	318	604
345	318	602
346	319	601
347	320	600
348	321	599
349	322	598
350	322	597
351	323	595
352	324	594
353	325	593
354	325	591
355	326	590
